qr_or_mac,voltage_v,voltage_mv,category,status,percentage_estimate,pass_fail,rssi,comment,timestamp
DD:D5:CF:B1:76:26,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-19T22:22:06.235177Z
E8:EF:34:F9:B2:EA,2.9,2900,GOOD,GOOD,70.0,True,-51,RSSI -51 | Battery 2.9V,2025-09-19T22:22:06.258109Z
EF:76:9C:80:45:F4,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:06.260104Z
C1:1C:91:89:E1:EA,2.9,2900,GOOD,GOOD,70.0,True,-66,RSSI -66 | Battery 2.9V,2025-09-19T22:22:06.264107Z
F9:01:AE:3B:16:E7,2.9,2900,GOOD,GOOD,70.0,True,-65,RSSI -65 | Battery 2.9V,2025-09-19T22:22:06.266799Z
EB:80:64:39:9D:0E,2.9,2900,GOOD,GOOD,70.0,True,-45,RSSI -45 | Battery 2.9V,2025-09-19T22:22:06.268815Z
FB:7C:7F:6B:91:0E,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-19T22:22:06.270820Z
C4:C3:C2:19:5E:85,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:06.331373Z
E4:B4:F3:56:3C:7C,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-19T22:22:06.332296Z
C5:B1:55:E9:45:C4,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-19T22:22:06.334320Z
FD:9D:4A:D1:2F:C8,2.9,2900,GOOD,GOOD,70.0,True,-44,RSSI -44 | Battery 2.9V,2025-09-19T22:22:06.336318Z
E5:D6:C8:D7:30:06,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:06.337417Z
EC:89:1F:5F:8F:1A,3.0,3000,NEW,GOOD,0,True,-52,RSSI -52 | Battery 3.0V,2025-09-19T22:22:06.342431Z
D6:69:43:98:65:B5,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:06.345319Z
C7:B0:CA:9E:B3:76,2.9,2900,GOOD,GOOD,70.0,True,-45,RSSI -45 | Battery 2.9V,2025-09-19T22:22:06.347458Z
FE:82:13:E6:E5:34,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:06.349000Z
C4:5F:04:2A:7B:03,2.9,2900,GOOD,GOOD,70.0,True,-49,RSSI -49 | Battery 2.9V,2025-09-19T22:22:06.352709Z
DD:82:BB:4E:F9:C8,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:06.358735Z
D5:E6:72:68:63:10,2.9,2900,GOOD,GOOD,70.0,True,-51,RSSI -51 | Battery 2.9V,2025-09-19T22:22:06.371917Z
CB:C9:61:0F:8B:0F,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:06.372921Z
C4:F0:64:80:AB:0D,2.9,2900,GOOD,GOOD,70.0,True,-41,RSSI -41 | Battery 2.9V,2025-09-19T22:22:06.373921Z
F6:17:57:C8:AE:61,3.0,3000,NEW,GOOD,0,True,-49,RSSI -49 | Battery 3.0V,2025-09-19T22:22:06.424867Z
F6:B5:DB:96:98:E5,3.0,3000,NEW,GOOD,0,True,-46,RSSI -46 | Battery 3.0V,2025-09-19T22:22:06.436047Z
E7:1D:0E:6A:B4:79,2.9,2900,GOOD,GOOD,70.0,True,-49,RSSI -49 | Battery 2.9V,2025-09-19T22:22:06.439089Z
DD:4E:69:B8:1B:B5,3.0,3000,NEW,GOOD,0,True,-38,RSSI -38 | Battery 3.0V,2025-09-19T22:22:06.442089Z
CC:7A:46:83:11:63,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-19T22:22:06.444952Z
C4:B7:1E:0E:79:33,2.9,2900,GOOD,GOOD,70.0,True,-50,RSSI -50 | Battery 2.9V,2025-09-19T22:22:06.453400Z
ED:CD:4F:B7:1B:32,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-19T22:22:06.459399Z
FE:D3:0B:3A:97:A0,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:06.466926Z
D3:F2:69:3A:D1:1F,2.9,2900,GOOD,GOOD,70.0,True,-51,RSSI -51 | Battery 2.9V,2025-09-19T22:22:06.467932Z
F4:6C:DE:CE:3C:06,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:06.473040Z
D4:6C:6F:74:CF:B9,3.0,3000,NEW,GOOD,0,True,-60,RSSI -60 | Battery 3.0V,2025-09-19T22:22:06.530447Z
EE:7C:69:5C:DF:3B,2.9,2900,GOOD,GOOD,70.0,True,-49,RSSI -49 | Battery 2.9V,2025-09-19T22:22:06.537447Z
E2:0C:DE:7A:CE:FD,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:06.538447Z
D5:72:55:23:58:93,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-19T22:22:06.538447Z
F8:B4:EF:68:86:EF,2.9,2900,GOOD,GOOD,70.0,True,-66,RSSI -66 | Battery 2.9V,2025-09-19T22:22:06.540447Z
F5:39:DA:9E:06:0E,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-19T22:22:06.542446Z
E0:C9:1A:CD:AF:8F,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-19T22:22:06.543447Z
D5:CE:0C:32:F4:A5,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:06.545447Z
CB:94:0F:60:78:38,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-19T22:22:06.550446Z
C4:40:C5:F1:4F:B8,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-19T22:22:06.552455Z
C9:C2:25:23:CD:30,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-19T22:22:06.555455Z
D3:DA:0F:24:88:96,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:06.562533Z
FE:72:38:95:B0:58,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-19T22:22:06.567278Z
F8:47:71:72:3D:AB,3.0,3000,NEW,GOOD,0,True,-56,RSSI -56 | Battery 3.0V,2025-09-19T22:22:06.570050Z
E9:7A:4F:2C:2B:99,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:06.573299Z
F4:4B:C2:0C:62:A8,3.0,3000,NEW,GOOD,0,True,-50,RSSI -50 | Battery 3.0V,2025-09-19T22:22:06.635534Z
C8:59:3C:D3:A1:59,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-19T22:22:06.636523Z
CB:89:AF:B0:2A:2D,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:06.640050Z
EF:F0:55:DE:5D:1D,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:06.644730Z
D1:1E:29:03:CA:31,2.9,2900,GOOD,GOOD,70.0,True,-50,RSSI -50 | Battery 2.9V,2025-09-19T22:22:06.651159Z
EB:68:15:F3:95:C6,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:06.654360Z
E5:62:3B:CF:DC:26,2.8,2800,LOW,WARN,0,False,-55,RSSI -55 | Battery 2.8V,2025-09-19T22:22:06.663519Z
C1:6F:2B:2F:E3:DF,2.9,2900,GOOD,GOOD,70.0,True,-64,RSSI -64 | Battery 2.9V,2025-09-19T22:22:06.665540Z
D5:B2:9E:F5:E2:27,2.9,2900,GOOD,GOOD,70.0,True,-55,RSSI -55 | Battery 2.9V,2025-09-19T22:22:06.667333Z
